ra,dec
252.03854,25.755628
252.04145,24.063403
252.04168,30.374167
252.04344,29.596805
252.04449,21.417829
252.04459,20.883255
252.04816,28.575903
252.04823,24.138483
252.04886,21.519341
252.0501,33.274984
252.05019,24.152151
182.95726,1.7164493
182.95791,30.563252
182.95792,32.98544
182.95807,2.6746088
182.95812,17.676533
182.95813,-2.2333071
182.95857,7.6758823
182.95871,1.1986811
182.95879,4.1744073
182.95921,30.366788
182.95943,11.974778
182.95947,14.621183
182.95955,13.680608
182.95968,67.929433
182.96037,43.491764
182.96055,61.826727
182.96066,61.595494
182.96097,52.497638
182.96134,31.362788
182.96139,61.848925
182.96143,12.81963
182.51183,38.761282
182.51209,5.2744366
182.51239,5.3942019
182.51249,27.593864
182.51289,3.9882246
182.51302,19.081662
182.51305,14.979188
182.51341,57.127033
182.51351,45.664623
182.51363,11.713573
182.51406,29.404669
182.51453,25.891189
182.5148,38.946716
182.51509,31.938777
182.51645,26.233282
182.51662,68.694998
182.51692,32.020889
6.4728774E-3,-0.09259279
7.7380469E-3,0.71926447
8.3286187E-3,15.697181
8.7588679E-3,15.881756
0.01176211,14.715548
0.0134292,-1.1130411
0.0138963,-10.721102
0.01606437,14.997595
0.01744901,-8.734183
0.01919814,-8.9437961
0.01979171,0.78170108
0.02312165,-1.2163687
0.02968185,0.8578721
0.0325982,-0.04057073
0.03981321,14.243354
0.04217533,0.63428133
0.04306028,-0.35762749
0.04819675,-8.8356594
0.05145596,-10.53628
0.0533172,1.1201948
0.05497804,14.59171
0.0560053,-1.2136299
0.05869709,-10.47941
0.06022087,14.211614
0.06153397,0.67453863
0.06554015,-8.891113
0.0678071,14.733137
0.07930667,-10.883049
0.08035016,-9.6320135
0.0820533,-9.6951268
0.0828894,14.372101
0.08358627,13.833791
0.08431116,14.186091
0.08563946,-10.346904
0.08727537,0.21508407
0.09517868,16.147897
0.09531514,-0.10991285
0.11447117,14.962485
0.11634563,-0.6895624
0.11658301,-0.4482061
0.11696377,14.381222
0.11943405,0.86896292
0.12870372,-1.2130045
0.12893339,15.585927
0.13071753,-9.4655889
0.13274474,16.112407
0.13328058,-10.55611
0.13498674,14.581838
0.14075013,15.183925
0.14250386,14.619223
0.16382,-0.01335601
0.1660683,-11.15769
0.16654755,-1.1911967
0.16684594,14.552149
0.1682725,-9.6728
0.17568425,14.506423
0.18143513,14.524866
0.18220445,-10.422613
0.18397994,0.67299349
0.18565251,-8.726009
0.18663143,-10.405776
0.18997356,14.074655
0.19617406,14.312927
0.19633324,-10.802508
0.19954213,14.277546
0.20235147,14.552426
0.20344528,14.009318
0.2121538,14.2362
0.21297251,14.251941
0.21417698,15.250844
0.21704971,-10.586907
0.21752728,-9.5309275
0.21754638,-8.7444495
0.22047034,14.413542
0.22305541,-1.1152065
